NAME                2012 BOY RANK  2012 GIRL RANK 2022 BOY RANK  2022 GIRL RANK 
Jiraiya             -              -              791            -              
Joanna              -              324            -              321            
Joaquin             325            -              328            -              
Jocelyn             -              92             -              314            
Jocelynn            -              766            -              -              
Joe                 530            -              895            -              
Joel                145            -              212            -              
Joelle              -              -              -              783            
Joey                610            -              894            -              
Johan               480            -              580            -              
Johann              942            -              -              -              
Johanna             -              482            -              792            
John                28             -              26             -              
Johnathan           258            -              502            -              
Johnathon           829            -              -              -              
Johnny              281            -              400            -              
Jolene              -              891            -              485            
Jolie               -              775            -              789            
Jon                 625            -              896            -              
Jonah               131            -              135            -              
Jonas               474            -              558            -              
Jonathan            35             -              79             -              
Jonathon            652            -              -              -              
Jones               -              -              946            -              
Jordan              48             222            92             504            
Jorden              908            -              -              -              
Jordyn              824            121            -              235            
Jordynn             -              780            -              -              
Jorge               191            -              284            -              
Jose                72             -              88             -              
Joselyn             -              461            -              -              
Joseph              20             -              30             -              
Josephine           -              160            -              70             
Joshua              17             -              60             -              
Josiah              79             -              51             -              
Josie               -              254            -              119            
Joslyn              -              678            -              -              
Josue               237            -              289            -              
Journee             -              589            -              195            
Journey             -              327            -              315            
Journi              -              -              -              625            
Jovani              805            -              -              -              
Jovanni             734            -              879            -              
Jovie               -              -              -              733            
Joy                 -              498            -              467            
Joyce               -              892            -              986            
Joziah              871            -              806            -              
Jream               -              -              -              777            
Jrue                -              -              904            -              
Juan                92             -              141            -              
Judah               273            -              181            -              
Jude                162            -              161            -              
Judith              -              896            -              873            
Judson              -              -              864            -              
Juelz               896            -              -              -              
Julia               -              65             -              112            
Julian              53             -              35             -              
Juliana             -              147            -              220            
Julianna            -              186            -              326            
Julianne            -              825            -              -              
Julie               -              385            -              715            
Julien              582            -              657            -              
Juliet              -              253            -              293            
Julieta             -              -              -              441            
Juliette            -              310            -              163            
Julio               383            -              550            -              
Julissa             -              400            -              956            
Julius              331            -              348            -              
June                -              435            -              172            
Junior              819            -              771            -              
Juniper             -              883            -              114            
Justice             519            518            764            879            
Justin              74             -              180            -              
Justus              792            -              -              -              
Kabir               -              -              971            -              
Kade                434            -              350            -              
Kaden               128            -              267            -              
Kadence             -              469            -              -              
Kaeden              802            -              -              -              
Kael                990            -              -              -              
Kaelyn              -              417            -              -              
Kaelynn             -              913            -              -              
Kahlani             -              -              -              1000           
Kai                 195            919            59             790            
Kaia                -              559            -              225            
Kaiden              154            -              167            -              
Kailani             -              -              -              223            
Kailee              -              743            -              -              
Kailey              -              412            -              -              
Kailyn              -              492            -              -              
Kailynn             -              941            -              -              
Kairi               -              884            -              926            
Kairo               -              -              250            -              
Kaisen              -              -              909            -              
Kaiser              -              -              751            -              
Kaison              -              -              508            -              
Kaitlin             -              837            -              -              
Kaitlyn             -              118            -              627            
Kaitlynn            -              699            -              -              
Kaiya               -              799            -              907            
Kaizen              -              -              905            -              
Kalani              -              -              -              374            
Kale                719            -              -              -              
Kaleb               126            -              259            -              
Kaleigh             -              793            -              -              
Kalel               -              -              999            -              
Kali                -              418            -              250            
Kaliyah             -              535            -              604            
Kallie              -              664            -              911            
Kamari              608            -              368            882            
Kamden              438            -              600            -              
Kameron             276            -              406            -              
Kamila              -              362            -              212            
Kamilah             -              -              -              987            
Kamiyah             -              -              -              849            
Kamron              816            -              -              -              
Kamryn              833            361            980            531            
Kanan               -              -              998            -              
Kane                545            -              360            -              
Kannon              -              -              664            -              
Kara                -              365            -              874            
Kareem              743            -              673            -              
Karen               -              353            -              -              
Karim               -              -              772            -              
Karina              -              363            -              702            
Karis               -              869            -              -              
Karissa             -              879            -              -              
Karla               -              411            -              686            
Karlee              -              693            -              -              
Karlie              -              944            -              -              
Karma               -              903            -              -              
Karsen              991            -              -              -              
Karson              363            -              339            -              
Karsyn              -              734            -              608            
Karter              347            -              217            889            
Kartier             -              -              912            -              
Kase                972            -              862            -              
Kasen               468            -              531            -              
Kasey               -              981            -              -              
Kash                520            -              243            -              
Kashton             -              -              380            -              
Kason               385            -              478            -              
Kassandra           -              682            -              -              
Kassidy             -              467            -              823            
Kataleya            -              -              -              774            
Katalina            -              1000           -              475            
Kate                -              194            -              452            
Katelyn             -              131            -              900            
Katelynn            -              427            -              -              
Katherine           -              64             -              166            
Kathleen            -              667            -              -              
Kathryn             -              266            -              658            
Katie               -              219            -              559            
Katrina             -              942            -              -              
Kaya                -              811            -              -              
Kayce               -              -              587            -              
Kayden              99             585            107            -              
Kaydence            -              271            -              883            
Kayla               -              70             -              279            
Kaylani             -              -              -              253            
Kaylee              -              34             -              161            
Kayleigh            -              264            -              528            
Kaylen              -              935            -              -              
Kaylie              -              428            -              -              
Kaylin              -              468            -              -              
Kaylyn              -              923            -              -              
Kaylynn             -              624            -              -              
Kaysen              957            -              541            -              
Kayson              579            -              279            -              
Keagan              585            -              -              -              
Keanu               -              -              592            -              
Keaton              394            -              804            -              
Keegan              244            -              567            -              
Keenan              886            -              -              -              
Kehlani             -              -              -              152            
Keilani             -              -              -              632            
Keily               -              -              -              967            
Keira               -              190            -              535            
Keith               361            -              693            -              
Kellan              373            -              851            -              
Kellen              337            -              826            -              
Kelly               -              354            -              805            
Kelsey              -              267            -              629            
Kelvin              550            -              910            -              
Kendal              -              847            -              -              
Kendall             648            116            -              301            
Kendra              -              387            -              703            
Kendrick            475            -              464            -              
Kendyl              -              961            -              -              
Kenia               -              642            -              919            
Kenji               -              -              755            -              
Kenley              -              499            -              -              
Kenna               -              885            -              681            
Kennedi             -              508            -              560            
Kennedy             -              83             -              74             
Kenneth             175            -              264            -              
Kenny               749            -              -              -              
Kensley             -              728            -              612            
Kenya               -              532            -              -              
Kenzie              -              270            -              519            
Kenzo               -              -              504            -              
Kevin               67             -              182            -              
Keyla               -              842            -              899            
Khai                -              -              865            -              
Khalani             -              -              -              884            
Khaleesi            -              -              -              662            
Khalid              -              -              959            -              
Khalil              445            -              308            -              
Khari               -              -              799            -              
Khaza               -              -              839            -              
Khloe               -              55             -              186            
Kiaan               -              -              768            -              
Kian                600            -              456            -              
Kiana               -              741            -              753            
Kiara               -              346            -              252            
Kiera               -              590            -              -              
Kieran              556            -              490            -              
Kiley               -              513            -              -              
Killian             820            -              364            -              
Kimber              -              788            -              775            
Kimberly            -              88             -              210            
Kimora              -              758            -              -              
King                256            -              222            -              
Kingsley            865            -              741            -              
Kingston            210            -              128            -              
Kinley              -              180            -              527            
Kinslee             -              -              -              806            
Kinsley             -              179            -              61             
Kira                -              359            -              390            
Kirsten             -              988            -              -              
Knox                368            -              200            -              
Koa                 -              -              351            -              
Kobe                506            -              381            -              
Koda                -              -              471            -              
Kody                693            -              -              -              
Koen                -              -              812            -              
Kohen               951            -              476            -              
Kolby               788            -              -              -              
Kole                708            -              -              -              
Kolson              -              -              882            -              
Kolten              770            -              -              -              
Kolton              378            -              507            -              
Konner              875            -              -              -              
Konnor              822            -              -              -              
Kooper              -              -              984            -              
Kora                -              975            -              462            
Korbin              559            -              942            -              
Kori                -              -              -              744            
Kourtney            -              720            -              -              
Krew                -              -              625            -              
Krish               846            -              -              -              
Kristen             -              660            -              -              
Kristian            576            -              954            -              
Kristina            -              689            -              -              
Kristopher          503            -              -              -              
Krystal             -              829            -              -              
Kye                 -              -              866            -              
Kyla                -              283            -              557            
Kylah               -              973            -              -              
Kylan               642            -              514            -              
Kyle                127            -              393            -              
Kylee               -              156            -              727            
Kyleigh             -              288            -              -              
Kylen               998            -              901            -              
Kyler               266            -              252            -              
Kylian              -              -              525            -              
Kylie               -              59             -              198            
Kylo                -              -              436            -              
Kymani              727            -              -              -              
Kyndal              -              982            -              -              
Kyndall             -              808            -              -              
Kynlee              -              747            -              -              
Kyra                -              404            -              659            
Kyree               804            -              674            -              
Kyrie               866            -              227            -              
Kyro                -              -              762            -              
Kyson               704            -              481            -              
Lacey               -              493            -              875            
Lachlan             -              -              746            -              
Laila               -              142            -              308            
Lailah              -              705            -              -              
Lainey              -              566            -              174            
Lakelyn             -              -              -              983            
Lakelynn            -              -              -              968            
Lamar               782            -              -              -              
Lana                -              442            -              422            
Lance               496            -              792            -              
Landen              245            -              748            -              
Landon              34             -              86             -              
Landry              669            995            -              -              
Landyn              365            -              800            -              
Lane                288            -              260            -              
Laney               -              628            -              705            
Langston            -              -              796            -              
Lara                -              848            -              695            
Larissa             -              853            -              -              
Larry               424            -              889            -              
Laura               -              280            -              363            
Laurel              -              972            -              706            
Lauren              -              72             -              327            
Lauryn              -              516            -              927            
Lawrence            453            -              551            -              
Lawson              531            -              409            -              
Layla               -              31             -              29             
Laylah              -              629            -              920            
Laylani             -              -              -              947            
Layne               594            -              662            921            
Layton              613            -              637            -              
Lea                 -              611            -              785            
Leah                -              33             -              52             
Leandro             821            -              546            -              
Leanna              -              748            -              942            
Ledger              -              -              593            -              
Lee                 667            -              697            -              
Legacy              -              -              735            484            
Legend              834            -              132            -              
Leia                -              673            -              256            
Leif                -              -              841            -              
Leighton            -              563            821            375            
Leila               -              234            -              246            
Leilani             -              224            -              59             
Leilany             -              -              -              707            
Leland              343            -              499            -              
Lena                -              360            -              251            
Lennon              814            -              668            229            
Lennox              776            -              248            613            
Lenora              -              -              -              932            
Leo                 134            -              22             -              
Leon                357            -              158            -              
Leona               -              914            -              534            
Leonard             702            -              713            -              
Leonardo            150            -              75             -              
Leonel              443            -              327            -              
Leonidas            783            -              422            -              
Leroy               943            -              855            -              
Leslie              -              263            -              652            
Lesly               -              753            -              -              
Levi                55             -              12             -              
Lewis               644            -              489            -              
Lexi                -              249            -              439            
Lexie               -              523            -              953            
Leyla               -              721            -              593            
Lia                 -              351            -              248            
Liam                6              -              1              -              
Lian                -              -              687            -              
Liana               -              546            -              450            
Libby               -              915            -              -              
Liberty             -              600            -              764            
Lila                -              182            -              221            
Lilah               -              311            -              219            
Lilia               -              876            -              -              
Lilian              -              464            -              575            
Liliana             -              117            -              97             
Lilianna            -              633            -              859            
Lilith              -              820            -              270            
Lillian             -              25             -              50             
Lilliana            -              277            -              368            
Lillianna           -              779            -              -              
Lillie              -              495            -              762            
Lilly               -              110            -              233            
Lillyana            -              909            -              -              
Lily                -              16             -              30             
Lilyana             -              475            -              914            
Lilyanna            -              870            -              -              
Lina                -              770            -              578            
Lincoln             132            -              54             -              
Linda               -              639            -              807            
Lindsay             -              708            -              -              
Lindsey             -              524            -              -              
Lionel              806            -              619            -              
Lisa                -              710            -              933            
Litzy               -              594            -              -              
Liv                 -              -              -              728            
Livia               -              739            -              890            
Lizbeth             -              605            -              -              
Lochlan             -              -              802            -              
Logan               21             456            33             372            
Lola                -              231            -              262            
London              537            94             1000           297            
Londyn              -              195            -              222            
Lorelai             -              736            -              480            
Lorelei             -              533            -              442            
Lorenzo             307            -              133            -              
Loretta             -              -              -              816            
Lottie              -              -              -              950            
Louie               -              -              711            -              
Louis               312            -              246            -              
Louisa              -              -              -              825            
Louise              -              -              -              638            
Love                -              -              -              754            
Loyal               -              -              702            -              
Luca                223            -              28             -              
Lucas               27             -              8              -              
Lucca               919            -              503            -              
Lucia               -              248            -              126            
Lucian              586            -              545            -              
Luciana             -              555            -              360            
Luciano             606            -              369            -              
Lucille             -              394            -              281            
Lucy                -              66             -              48             
Luella              -              -              -              996            
Luis                90             -              125            -              
Luisa               -              -              -              885            
Luka                641            -              117            -              
Lukas               232            -              235            -              
Luke                37             -              34             -              
Luna                -              223            -              10             
Lux                 -              -              981            -              
Luz                 -              864            -              943            
Lydia               -              95             -              93             
Lyla                -              146            -              105            
Lylah               -              634            -              589            
Lyra                -              -              -              497            
Lyric               830            295            -              469            
Mabel               -              -              -              312            
Mac                 -              -              605            -              
Macey               -              833            -              -              
Maci                -              212            -              644            
Macie               -              371            -              537            
Mack                958            -              505            -              
Mackenzie           -              71             -              141            
Macy                -              338            -              722            
Madalyn             -              450            -              999            
Madalynn            -              636            -              -              
Madden              552            -              655            -              
Maddie              -              -              -              940            
Maddison            -              350            -              491            
Maddox              167            -              179            -              
Madeleine           -              289            -              384            
Madeline            -              96             -              102            
Madelyn             -              67             -              60             
Madelynn            -              398            -              470            
Madilyn             -              287            -              330            
Madilynn            -              557            -              566            
Madison             -              9              -              34             
Madisyn             -              405            -              808            
Madyson             -              598            -              -              
Mae                 -              750            -              510            
Maeve               -              529            -              104            
Magdalena           -              -              -              915            
Maggie              -              246            -              295            
Magnolia            -              -              -              151            
Magnus              -              -              780            -              
Maia                -              722            -              420            
Maisie              -              -              -              347            
Maison              979            -              -              -              
Maisy               -              -              -              988            
Major               483            -              441            -              
Makai               682            -              520            -              
Makayla             -              69             -              393            
Makenna             -              229            -              398            
Makenzie            -              150            -              511            
Makhi               872            -              -              -              
Malachi             168            -              162            -              
Malakai             571            -              231            -              
Malaki              968            -              -              -              
Malani              -              -              -              395            
Malaya              -              787            -              710            
Malayah             -              -              -              839            
Malaysia            -              569            -              609            
Malcolm             466            -              285            -              
Maleah              -              637            -              992            
Malia               -              355            -              264            
Maliah              -              931            -              -              
Malik               340            -              395            -              
Maliyah             -              378            -              523            
Mallory             -              325            -              532            
Manuel              246            -              315            -              
Mara                -              800            -              620            
Marc                601            -              -              -              
Marcel              882            -              660            -              
Marceline           -              -              -              675            
Marcellus           -              -              760            -              
Marcelo             789            -              543            -              
Marco               269            -              372            -              
Marcos              345            -              491            -              
Marcus              149            -              237            -              
Maren               -              -              -              500            
Margaret            -              178            -              128            
Margo               -              -              -              617            
Margot              -              -              -              193            
Maria               -              101            -              91             
Mariah              -              108            -              345            
Mariam              -              620            -              570            
Mariana             -              313            -              243            
Marianna            -              911            -              814            
Marie               -              576            -              599            
Marigold            -              -              -              833            
Marilyn             -              426            -              696            
Marina              -              644            -              646            
Mario               253            -              366            -              
Marisa              -              976            -              -              
Marisol             -              711            -              822            
Marissa             -              320            -              -              
Maritza             -              838            -              -              
Mariyah             -              674            -              -              
Mark                176            -              247            -              
Markus              825            -              -              -              
Marlee              -              530            -              454            
Marleigh            -              -              -              711            
Marlene             -              983            -              -              
Marley              -              259            -              277            
Marlon              694            -              991            -              
Marlowe             -              -              -              781            
Marquis             760            -              -              -              
Marshall            348            -              384            -              
Martha              -              730            -              725            
Martin              265            -              305            -              
Marvin              469            -              612            -              
Mary                -              123            -              136            
Maryam              -              680            -              432            
Masen               724            -              -              -              
Mason               2              -              24             -              
Mateo               138            -              11             -              
Mathew              425            -              881            -              
Mathias             671            -              396            -              
Matias              563            -              196            -              
Matilda             -              658            -              415            
Matteo              412            -              184            -              
Matthew             12             -              39             -              
Matthias            680            -              465            -              
Mattie              -              917            -              -              
Maurice             504            -              -              -              
Mauricio            472            -              647            -              
Maverick            356            -              40             -              
Mavis               -              -              -              680            
Max                 105            -              156            -              
Maxim               683            -              -              -              
Maximilian          464            -              566            -              
Maximiliano         320            -              268            -              
Maximo              920            -              661            -              
Maximus             206            -              270            -              
Maxine              -              -              -              614            
Maxton              884            -              964            -              
Maxwell             116            -              173            -              
Maya                -              63             -              51             
Mayson              695            -              -              -              
Mccoy               -              -              860            -              
Mckayla             -              701            -              -              
Mckenna             -              226            -              291            
Mckenzie            -              152            -              355            
Mckinley            -              457            -              654            
Meadow              -              951            -              406            
Megan               -              199            -              729            
Meghan              -              886            -              -              
Meilani             -              -              -              952            
Meir                -              -              992            -              
Mekhi               505            -              950            -              
Melanie             -              77             -              130            
Melany              -              484            -              623            
Melina              -              645            -              639            
Melissa             -              177            -              377            
Melody              -              174            -              109            
Melvin              621            -              830            -              
Memphis             751            -              442            -              
Mercedes            -              706            -              -              
