NAME                2012 BOY RANK  2012 GIRL RANK 2022 BOY RANK  2022 GIRL RANK 
Bianca              -              312            -              426            
Billie              -              -              -              949            
Billy               662            -              -              -              
Birdie              -              -              -              803            
Bjorn               -              -              776            -              
Blaine              578            -              -              -              
Blair               -              872            -              282            
Blaire              -              -              -              562            
Blaise              918            -              -              -              
Blake               71             694            228            200            
Blakely             -              545            -              167            
Blaze               752            -              752            -              
Bo                  786            -              492            -              
Bobby               715            -              -              -              
Bode                -              -              960            -              
Boden               -              -              859            -              
Bodhi               894            -              301            -              
Bodie               -              -              484            -              
Bonnie              -              -              -              529            
Boone               -              -              602            -              
Boston              538            -              617            -              
Bowen               619            -              389            -              
Braden              303            -              937            -              
Bradley             169            -              344            -              
Brady               136            -              281            -              
Bradyn              970            -              -              -              
Braeden             581            -              -              -              
Braelyn             -              446            -              865            
Braelynn            -              601            -              574            
Braiden             604            -              -              -              
Branden             851            -              -              -              
Brandon             56             -              211            -              
Branson             691            -              -              -              
Brantley            158            -              314            -              
Braxton             125            -              157            -              
Brayan              499            -              782            -              
Brayden             39             -              149            -              
Braydon             398            -              -              -              
Braylee             -              541            -              -              
Braylen             324            -              548            -              
Braylon             279            -              584            -              
Breanna             -              403            -              -              
Brecken             860            -              919            -              
Bree                -              968            -              -              
Brenda              -              538            -              -              
Brendan             300            -              884            -              
Brenden             500            -              -              -              
Brendon             799            -              -              -              
Brenna              -              623            -              -              
Brennan             318            -              990            -              
Brennen             766            -              -              -              
Brent               730            -              -              -              
Brentley            750            -              -              -              
Brenton             904            -              -              -              
Brett               598            -              -              -              
Bria                -              647            -              758            
Brian               139            -              290            -              
Briana              -              297            -              539            
Brianna             -              51             -              171            
Briar               -              -              743            533            
Brice               930            -              -              -              
Bridger             938            -              738            -              
Bridget             -              453            -              791            
Briella             -              375            -              350            
Brielle             -              111            -              116            
Briggs              966            -              386            -              
Briley              -              703            -              -              
Brinley             -              496            -              451            
Brisa               -              912            -              -              
Bristol             -              431            -              512            
Britney             -              893            -              -              
Brittany            -              407            -              848            
Brixton             -              -              607            -              
Brock               336            -              783            -              
Broderick           899            -              -              -              
Brodie              630            -              886            -              
Brody               91             -              207            -              
Brogan              931            -              -              -              
Bronson             767            -              944            -              
Brooke              -              102            -              269            
Brooklyn            -              29             -              72             
Brooklynn           -              137            -              358            
Brooks              358            -              76             -              
Bruce               422            -              563            -              
Bruno               790            -              618            -              
Bryan               121            -              291            -              
Bryanna             -              713            -              -              
Bryant              484            -              907            -              
Bryce               117            -              265            -              
Brycen              338            -              721            -              
Brylee              -              408            -              945            
Bryleigh            -              861            -              -              
Bryn                -              774            -              -              
Brynlee             -              323            -              204            
Brynleigh           -              -              -              751            
Brynn               -              189            -              388            
Bryson              94             -              137            -              
Byron               540            -              892            -              
Cade                370            -              292            -              
Caden               152            -              223            -              
Cadence             -              290            -              857            
Cael                955            -              -              -              
Caiden              295            -              438            -              
Cailyn              -              979            -              -              
Cain                779            -              916            -              
Cairo               -              -              306            -              
Caitlin             -              422            -              -              
Caitlyn             -              382            -              -              
Cal                 -              -              747            -              
Cale                905            -              -              -              
Caleb               32             -              52             -              
Cali                -              329            -              376            
Callahan            -              -              518            -              
Callan              827            -              353            -              
Callen              570            -              458            -              
Callie              -              221            -              187            
Calliope            -              -              -              583            
Callum              810            -              249            -              
Calum               -              -              813            -              
Calvin              189            -              148            -              
Cambria             -              926            -              -              
Camden              156            -              187            -              
Camdyn              849            -              -              -              
Cameron             54             553            64             514            
Camila              -              48             -              12             
